title,url
CompletedClevatess: Majuu no Ou to Akago to Kabane no Yuusha2025EP12TV,https://otakudesu.fit/series/clevatess-majuu-no-ou-to-akago-to-kabane-no-yuusha/
CompletedHitozuma no Kuchibiru wa Kan Chuuhai no Aji ga Shite2025EP8TV,https://otakudesu.fit/series/hitozuma-no-kuchibiru-wa-kan-chuuhai-no-aji-ga-shite/
"CompletedNecronomico and the Cosmic Horror Show2025Ssummer,2025 EP12TV",https://otakudesu.fit/series/necronomico-and-the-cosmic-horror-show/
"CompletedKanojo, Okarishimasu 4th Season2020EP12TV",https://otakudesu.fit/series/kanojo-okarishimasu-4th-season/
CompletedMattaku Saikin no Tantei to Kitara2025EP12TV,https://otakudesu.fit/series/mattaku-saikin-no-tantei-to-kitara/
CompletedKoujo Denka no Katei Kyoushi2025EP12TV,https://otakudesu.fit/series/koujo-denka-no-katei-kyoushi/
CompletedLord of Mysteries2025EP13TV,https://otakudesu.fit/series/lord-of-mysteries/
CompletedTakopii no Genzai2025EP8TV,https://otakudesu.fit/series/takopii-no-genzai/
CompletedSuki demo Kirai na Amanojaku-EP1TV,https://otakudesu.fit/series/suki-demo-kirai-na-amanojaku/
CompletedShirobuta Kizoku desu ga Zense no Kioku ga Haeta node Hiyoko na Otouto Sodatemasu2025EP12TV,https://otakudesu.fit/series/shirobuta-kizoku-desu-ga-zense-no-kioku-ga-haeta-node-hiyoko-na-otouto-sodatemasu/
CompletedLycoris Recoil: Friends are thieves of time.-EP6TV,https://otakudesu.fit/series/lycoris-recoil-friends-are-thieves-of-time/
CompletedSentai Daishikkaku 2nd Season2024EP12TV,https://otakudesu.fit/series/sentai-daishikkaku-2nd-season/
CompletedUma Musume Cinderella Gray2025EP13TV,https://otakudesu.fit/series/umamusume-cinderella-gray/
CompletedHibi wa Sugiredo Meshi Umashi2025EP12TV,https://otakudesu.fit/series/hibi-wa-sugiredo-meshi-umashi/
Completedmono2025EP12TV,https://otakudesu.fit/series/mono/
CompletedTeogonia2025EP12TV,https://otakudesu.fit/series/teogonia/
CompletedNinja to Koroshiya no Futarigurashi2025EP12TV,https://otakudesu.fit/series/ninja-to-koroshiya-no-futarigurashi/
CompletedUchuujin MuuMuu2025EP24TV,https://otakudesu.fit/series/uchuujin-muumuu/
CompletedApocalypse Hotel2025EP12TV,https://otakudesu.fit/series/apocalypse-hotel/
CompletedKidou Senshi Gundam GQuuuuuuX2025EP12TV,https://otakudesu.fit/series/kidou-senshi-gundam-gquuuuuux/
CompletedShiunji-ke no Kodomotachi2025EP12TV,https://otakudesu.fit/series/shiunji-ke-no-kodomotachi/
CompletedDevil May Cry 20252025EP8TV,https://otakudesu.fit/series/devil-may-cry-2025/
